Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,15.28,-22.89,17:59:26:624,666.00,9.01
15.10,-22.23,17:59:27:188,666.00,8.33
15.12,-22.16,17:59:27:400,666.00,8.17
14.94,-21.66,17:59:27:751,666.00,8.16
14.79,-21.46,17:59:27:938,666.00,8.19
14.60,-21.65,17:59:28:101,666.00,8.23
14.65,-21.65,17:59:28:253,666.00,8.00
14.61,-20.48,17:59:29:456,666.00,7.66
14.56,-20.18,17:59:29:810,666.00,7.78
14.55,-20.71,17:59:29:994,666.00,7.97
14.50,-20.96,17:59:30:166,666.00,8.03
14.66,-21.70,17:59:30:289,666.00,8.23
14.66,-21.75,17:59:30:415,666.00,8.23
14.60,-21.66,17:59:30:540,666.00,8.31
14.55,-21.30,17:59:30:661,666.00,8.14
14.54,-21.12,17:59:30:783,666.00,8.12
14.57,-21.12,17:59:30:931,666.00,8.02
14.56,-20.69,17:59:31:048,666.00,7.64
14.14,-20.27,17:59:31:164,666.00,7.12
13.71,-19.61,17:59:31:279,666.00,6.71
13.03,-19.99,17:59:31:392,666.00,7.02
12.84,-19.63,17:59:31:514,666.00,7.03
12.79,-19.67,17:59:31:631,666.00,7.15
12.84,-19.68,17:59:31:748,666.00,7.10
12.96,-19.44,17:59:31:869,666.00,6.98
13.11,-19.12,17:59:31:996,666.00,6.76
13.31,-18.67,17:59:32:115,666.00,6.49
13.62,-17.89,17:59:32:235,666.00,6.37
13.77,-17.06,17:59:32:368,666.00,5.98
13.89,-16.59,17:59:32:495,666.00,5.79
13.86,-16.37,17:59:32:613,666.00,5.78
13.86,-15.88,17:59:32:733,666.00,5.74
14.99,-16.91,17:59:32:857,666.00,6.18
19.70,-14.24,17:59:33:005,666.00,6.22
35.30,-9.36,17:59:33:138,666.00,7.56
49.78,-4.95,17:59:33:263,666.00,6.81
61.41,-3.59,17:59:33:382,666.00,6.85
77.18,-1.20,17:59:33:504,666.00,2.23
87.77,-0.97,17:59:33:632,666.00,3.07
97.39,-2.15,17:59:33:757,666.00,1.84
98.47,-3.36,17:59:33:887,666.00,9.06
101.91,-5.03,17:59:34:034,666.00,8.93
98.40,-6.56,17:59:34:158,666.00,6.90
94.21,-6.35,17:59:34:279,666.00,4.01
78.04,-7.68,17:59:34:404,666.00,10.34
66.41,-6.05,17:59:34:534,666.00,6.42
52.63,-7.53,17:59:34:663,666.00,9.12
41.29,-8.55,17:59:34:791,666.00,9.65
32.64,-10.58,17:59:34:920,666.00,10.47
24.54,-12.40,17:59:35:053,666.00,10.39
18.95,-14.94,17:59:35:177,666.00,9.21
16.69,-17.93,17:59:35:295,666.00,9.03
16.82,-19.10,17:59:35:419,666.00,9.61
18.24,-18.18,17:59:35:538,666.00,10.41
18.94,-17.55,17:59:35:669,666.00,10.46
19.01,-18.59,17:59:35:793,666.00,10.40
18.90,-18.73,17:59:35:915,666.00,9.82
22.04,-16.82,17:59:36:056,666.00,10.54
28.62,-13.49,17:59:36:184,666.00,10.85
35.59,-10.94,17:59:36:309,666.00,13.69
43.43,-7.99,17:59:36:424,666.00,12.32
49.29,-7.45,17:59:36:543,666.00,13.43
56.56,-5.84,17:59:36:660,666.00,10.62
61.28,-5.07,17:59:36:790,666.00,8.38
67.65,-5.39,17:59:36:919,666.00,8.31
72.55,-5.52,17:59:37:045,666.00,9.72
77.63,-5.97,17:59:37:180,666.00,8.54
80.91,-4.92,17:59:37:321,666.00,7.55
81.92,-4.18,17:59:37:438,666.00,6.75
83.10,-3.93,17:59:37:553,666.00,6.70
84.16,-3.40,17:59:37:681,666.00,6.71
85.49,-3.39,17:59:37:807,666.00,5.28
86.50,-2.76,17:59:37:932,666.00,4.89
93.49,-3.27,17:59:38:067,666.00,7.73
104.70,-2.81,17:59:38:192,666.00,8.22
119.23,-1.54,17:59:38:330,666.00,10.04
132.48,-0.03,17:59:38:462,666.00,11.74
135.34,0.02,17:59:38:586,666.00,15.03
141.71,-0.45,17:59:38:708,666.00,13.86
150.15,-3.71,17:59:38:830,666.00,17.37
151.75,-5.99,17:59:38:964,666.00,18.19
146.99,-4.71,17:59:39:105,666.00,12.68
131.64,-2.36,17:59:39:230,666.00,9.26
109.04,-3.81,17:59:39:358,666.00,11.13
89.76,-5.31,17:59:39:493,666.00,13.16
66.72,-8.80,17:59:39:621,666.00,13.69
48.31,-12.00,17:59:39:752,666.00,11.58
32.19,-15.39,17:59:39:893,666.00,12.09
19.80,-23.54,17:59:40:032,666.00,14.15
13.94,-25.11,17:59:40:166,666.00,11.13
13.44,-25.10,17:59:40:287,666.00,10.79
13.39,-25.11,17:59:40:419,666.00,11.49
18.07,-22.00,17:59:40:541,666.00,13.83
28.48,-14.27,17:59:40:659,666.00,16.65
39.08,-7.36,17:59:40:780,666.00,16.65
55.82,-4.23,17:59:40:902,666.00,18.73
76.82,-2.35,17:59:41:033,666.00,16.49
94.54,-0.43,17:59:41:161,666.00,23.04
108.68,0.33,17:59:41:288,666.00,13.21
121.17,0.70,17:59:41:417,666.00,16.88
134.94,0.90,17:59:41:551,666.00,13.89
143.03,-1.17,17:59:41:674,666.00,15.56
146.79,-1.60,17:59:41:828,666.00,15.28
143.13,0.57,17:59:41:955,666.00,12.89
127.32,0.17,17:59:42:078,666.00,12.49
104.46,-0.85,17:59:42:209,666.00,12.16
79.56,-4.21,17:59:42:336,666.00,11.87
57.58,-8.26,17:59:42:462,666.00,12.97
45.33,-11.18,17:59:42:585,666.00,13.86
30.92,-16.41,17:59:42:704,666.00,13.32
21.35,-23.35,17:59:42:835,666.00,13.79
15.04,-24.23,17:59:42:975,666.00,12.55
13.20,-22.62,17:59:43:103,666.00,12.66
13.40,-21.34,17:59:43:233,666.00,13.20
17.39,-18.22,17:59:43:357,666.00,13.74
31.94,-9.06,17:59:43:481,666.00,15.90
53.27,-5.34,17:59:43:599,666.00,17.13
70.09,-2.96,17:59:43:720,666.00,18.77
92.63,-0.25,17:59:43:847,666.00,17.86
111.34,1.71,17:59:43:973,666.00,13.32
122.78,1.57,17:59:44:110,666.00,15.13
136.61,3.29,17:59:44:249,666.00,12.09
143.18,0.49,17:59:44:371,666.00,14.55
145.56,-1.10,17:59:44:492,666.00,14.86
144.40,-1.26,17:59:44:633,666.00,14.04
137.51,2.39,17:59:44:754,666.00,10.92
121.83,1.03,17:59:44:886,666.00,14.07
106.82,0.00,17:59:45:018,666.00,11.38
87.17,-3.34,17:59:45:145,666.00,16.56
69.29,-3.98,17:59:45:267,666.00,13.41
53.73,-7.28,17:59:45:399,666.00,14.38
44.37,-8.87,17:59:45:520,666.00,14.40
33.33,-13.91,17:59:45:651,666.00,13.29
22.95,-20.40,17:59:45:780,666.00,14.77
17.87,-24.20,17:59:45:904,666.00,12.75
14.06,-26.65,17:59:46:035,666.00,12.16
12.94,-24.91,17:59:46:159,666.00,11.32
13.36,-23.78,17:59:46:289,666.00,12.66
20.12,-19.06,17:59:46:420,666.00,16.56
32.71,-11.77,17:59:46:547,666.00,18.12
48.33,-7.56,17:59:46:668,666.00,16.37
65.81,-4.80,17:59:46:792,666.00,12.64
74.66,-3.68,17:59:46:916,666.00,18.10
90.51,-3.05,17:59:47:042,666.00,17.46
105.22,-2.10,17:59:47:174,666.00,13.92
115.59,-0.98,17:59:47:298,666.00,13.04
123.61,0.17,17:59:47:417,666.00,13.45
136.23,2.12,17:59:47:545,666.00,10.97
142.09,2.02,17:59:47:668,666.00,15.39
147.21,2.16,17:59:47:797,666.00,14.23
147.16,3.67,17:59:47:931,666.00,12.41
138.93,6.12,17:59:48:063,666.00,7.18
121.96,3.41,17:59:48:194,666.00,7.44
107.74,1.48,17:59:48:322,666.00,9.82
89.51,0.06,17:59:48:445,666.00,12.96
68.24,-1.16,17:59:48:563,666.00,9.58
