Timestamp,Kinect_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,Kinect_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,80.14,-6.47,20:14:58:281,666.00,10.59
80.34,-5.42,20:14:58:935,666.00,10.71
80.22,-5.51,20:14:59:223,666.00,11.37
79.88,-4.73,20:14:59:561,666.00,10.82
80.05,-3.98,20:15:00:849,666.00,10.48
79.66,-3.22,20:15:01:207,666.00,10.74
79.87,-3.34,20:15:01:402,666.00,10.47
80.14,-4.05,20:15:01:591,666.00,10.32
79.98,-3.99,20:15:01:732,666.00,10.29
80.16,-4.14,20:15:01:875,666.00,10.03
79.99,-4.21,20:15:02:012,666.00,10.58
79.96,-4.53,20:15:02:135,666.00,11.62
79.74,-4.68,20:15:02:492,666.00,12.00
79.84,-5.00,20:15:02:627,666.00,13.32
79.88,-4.51,20:15:02:775,666.00,20.64
80.53,-4.91,20:15:02:911,-106.97,34.30
83.32,-4.46,20:15:03:042,-117.64,51.89
83.82,-4.46,20:15:03:169,-124.64,78.89
85.08,-4.96,20:15:03:299,-135.97,96.05
87.93,-5.94,20:15:03:422,-163.26,110.97
86.37,-5.61,20:15:03:546,-150.66,120.08
85.82,-5.44,20:15:03:673,-145.34,121.84
88.00,-6.30,20:15:03:807,-162.64,103.35
87.98,-6.96,20:15:03:943,-160.63,80.70
88.38,-6.86,20:15:04:072,-159.72,58.09
87.67,-7.05,20:15:04:211,666.00,29.20
85.38,-7.40,20:15:04:344,666.00,20.37
83.67,-7.27,20:15:04:476,666.00,10.14
81.56,-7.34,20:15:04:606,666.00,7.25
81.07,-6.79,20:15:04:733,666.00,7.06
81.08,-6.83,20:15:04:860,666.00,7.17
81.05,-6.69,20:15:04:999,666.00,9.79
81.25,-5.95,20:15:05:135,666.00,23.25
83.71,-5.97,20:15:05:260,-120.53,34.69
84.66,-5.85,20:15:05:389,-128.66,56.69
84.94,-6.73,20:15:05:524,-135.28,81.89
85.49,-6.47,20:15:05:668,-141.57,98.27
87.11,-6.86,20:15:05:810,-155.59,110.51
86.47,-6.24,20:15:05:941,-149.71,116.96
87.86,-8.02,20:15:06:066,-163.04,107.88
87.01,-7.60,20:15:06:205,-154.08,92.42
85.71,-7.72,20:15:06:342,-141.00,68.82
85.92,-7.51,20:15:06:471,-139.90,49.24
85.60,-7.93,20:15:06:588,-128.60,31.26
84.10,-7.37,20:15:06:721,666.00,19.59
82.63,-7.33,20:15:06:859,666.00,10.99
81.68,-7.77,20:15:07:002,666.00,7.84
80.57,-6.06,20:15:07:137,666.00,7.58
80.22,-6.31,20:15:07:277,666.00,8.02
80.50,-7.13,20:15:07:415,666.00,8.90
80.32,-6.35,20:15:07:547,666.00,21.49
81.07,-5.89,20:15:07:681,-112.96,33.70
83.10,-6.54,20:15:07:801,-126.44,52.95
84.22,-7.14,20:15:07:928,-135.31,77.44
83.68,-7.20,20:15:08:075,-136.04,91.25
84.43,-7.22,20:15:08:205,-142.62,106.77
84.22,-7.27,20:15:08:350,-141.67,118.67
81.75,-7.36,20:15:08:501,-132.38,114.68
82.20,-7.47,20:15:08:643,-134.17,100.00
83.47,-7.77,20:15:08:785,-135.00,78.16
83.69,-7.41,20:15:08:928,-129.44,50.54
83.80,-6.72,20:15:09:077,-122.29,30.23
81.50,-6.71,20:15:09:231,666.00,13.81
79.74,-6.86,20:15:09:358,666.00,9.36
78.91,-6.82,20:15:09:493,666.00,7.93
78.79,-7.05,20:15:09:621,666.00,7.33
78.59,-6.76,20:15:09:756,666.00,7.37
78.00,-5.09,20:15:09:902,666.00,7.81
78.31,-6.08,20:15:10:043,666.00,14.30
78.36,-6.19,20:15:10:176,666.00,24.69
80.68,-6.44,20:15:10:300,-113.26,36.46
83.30,-7.46,20:15:10:434,-131.11,55.21
84.47,-8.01,20:15:10:577,-141.49,76.45
84.24,-8.51,20:15:10:722,-145.16,98.08
85.95,-8.85,20:15:10:848,-157.77,109.86
84.43,-7.96,20:15:10:981,-149.19,126.11
83.08,-7.37,20:15:11:121,-141.35,125.32
83.40,-9.25,20:15:11:246,-147.93,108.83
83.74,-9.45,20:15:11:383,-143.69,88.16
84.33,-9.45,20:15:11:513,-140.45,65.27
84.72,-8.92,20:15:11:644,-128.88,38.09
83.03,-8.33,20:15:11:775,666.00,25.53
81.64,-7.70,20:15:11:907,666.00,10.99
80.30,-7.55,20:15:12:035,666.00,4.43
80.08,-7.55,20:15:12:174,666.00,4.26
79.54,-6.99,20:15:12:293,666.00,3.86
79.65,-5.14,20:15:12:434,666.00,3.01
79.29,-5.28,20:15:12:572,666.00,3.94
78.61,-4.51,20:15:12:708,666.00,12.00
78.83,-5.12,20:15:12:844,666.00,29.12
79.74,-7.03,20:15:12:975,-118.86,49.99
81.02,-6.42,20:15:13:100,-122.06,72.55
81.87,-7.33,20:15:13:232,-133.56,99.82
82.91,-8.48,20:15:13:356,-145.41,115.73
82.20,-7.90,20:15:13:483,-140.08,125.63
80.07,-7.89,20:15:13:609,-132.46,119.43
80.95,-8.31,20:15:13:744,-131.02,96.28
82.52,-8.30,20:15:13:885,-135.78,69.79
83.88,-9.07,20:15:14:028,-132.36,46.00
82.86,-8.05,20:15:14:158,666.00,26.95
81.86,-8.47,20:15:14:299,666.00,14.18
80.67,-8.00,20:15:14:437,666.00,8.25
79.47,-6.86,20:15:14:561,666.00,6.34
79.07,-6.63,20:15:14:690,666.00,6.49
78.84,-6.17,20:15:14:822,666.00,6.77
78.57,-6.05,20:15:14:955,666.00,6.84
78.46,-6.66,20:15:15:096,666.00,8.77
78.60,-7.02,20:15:15:234,666.00,15.29
79.63,-7.24,20:15:15:365,-114.89,31.60
82.24,-7.52,20:15:15:487,-125.48,52.16
83.81,-8.36,20:15:15:620,-135.24,72.51
84.33,-8.66,20:15:15:760,-144.73,96.03
85.12,-9.28,20:15:15:890,-155.24,111.61
84.12,-9.11,20:15:16:013,-150.10,120.14
82.38,-9.15,20:15:16:148,-143.63,123.75
83.35,-10.04,20:15:16:277,-146.52,108.74
83.03,-10.08,20:15:16:417,-142.09,93.84
83.69,-10.14,20:15:16:545,-136.72,70.52
84.20,-9.39,20:15:16:669,-133.28,52.65
83.85,-8.77,20:15:16:811,-121.20,35.20
81.90,-7.39,20:15:16:948,666.00,22.35
80.62,-7.11,20:15:17:077,666.00,12.32
77.93,-6.66,20:15:17:224,666.00,10.36
77.31,-6.26,20:15:17:352,666.00,10.39
