85.17,31.25,18-23-48-741,5.59,-63.74
85.11,31.20,18-23-48-824,5.50,-63.78
85.03,31.10,18-23-48-927,5.37,-63.86
84.98,31.02,18-23-49-023,5.30,-63.94
84.94,30.99,18-23-49-125,5.26,-63.98
84.92,30.98,18-23-49-231,5.22,-64.03
84.91,31.06,18-23-49-332,5.19,-63.99
84.94,31.05,18-23-49-432,5.37,-64.14
84.95,31.12,18-23-49-527,5.59,-64.40
84.96,31.21,18-23-49-627,5.68,-64.37
84.98,31.45,18-23-49-727,5.77,-64.09
84.98,31.55,18-23-49-835,5.94,-63.97
85.04,31.11,18-23-49-944,6.25,-65.04
85.75,31.21,18-23-50-049,7.75,-64.03
87.50,28.97,18-23-50-150,11.18,-68.07
90.60,28.83,18-23-50-250,16.42,-68.01
93.41,29.07,18-23-50-344,20.67,-67.67
97.75,29.43,18-23-50-447,28.51,-65.22
103.06,30.18,18-23-50-545,35.38,-59.24
109.09,32.48,18-23-50-650,42.43,-49.29
112.60,36.16,18-23-50-743,47.67,-42.39
114.68,42.18,18-23-50-846,54.30,-33.21
116.45,44.83,18-23-50-941,57.88,-29.18
117.73,48.61,18-23-51-041,63.98,-23.13
118.79,53.07,18-23-51-145,71.10,-16.06
118.45,56.75,18-23-51-246,73.86,-12.83
118.41,57.38,18-23-51-348,73.44,-13.24
119.43,60.01,18-23-51-448,77.23,-9.08
121.36,63.73,18-23-51-550,81.57,-2.10
121.11,66.02,18-23-51-644,86.32,-2.17
120.49,67.40,18-23-51-746,89.21,-4.73
120.02,67.73,18-23-51-851,89.91,-5.18
120.03,68.02,18-23-51-944,90.44,-5.58
121.27,67.09,18-23-52-048,88.11,-3.75
121.26,65.70,18-23-52-153,85.46,-1.06
121.03,61.83,18-23-52-254,80.11,-6.55
120.62,57.10,18-23-52-344,72.53,-14.52
120.50,52.70,18-23-52-448,66.73,-21.25
118.85,47.20,18-23-52-546,59.21,-29.57
113.73,38.76,18-23-52-642,46.42,-42.02
106.63,36.20,18-23-52-739,35.42,-46.82
99.41,32.70,18-23-52-839,23.89,-53.56
95.11,33.19,18-23-52-946,17.79,-54.11
91.89,27.73,18-23-53-047,14.40,-66.20
91.50,26.80,18-23-53-145,15.22,-68.87
91.47,26.74,18-23-53-246,15.82,-69.29
89.30,26.91,18-23-53-352,12.83,-69.13
83.96,29.69,18-23-53-456,4.01,-64.42
82.17,31.05,18-23-53-546,2.57,-62.75
82.06,31.44,18-23-53-648,3.53,-63.29
82.77,31.74,18-23-53-772,5.35,-63.75
83.53,31.82,18-23-53-861,7.07,-64.61
84.88,29.60,18-23-53-960,9.48,-71.22
85.81,28.62,18-23-54-040,10.94,-74.00
88.08,27.08,18-23-54-148,15.14,-77.44
90.80,25.21,18-23-54-254,19.36,-84.99
92.88,25.66,18-23-54-343,21.87,-82.00
95.05,29.43,18-23-54-446,25.53,-67.94
100.76,29.68,18-23-54-550,34.04,-65.08
105.50,31.26,18-23-54-646,39.13,-58.41
110.31,35.81,18-23-54-744,46.40,-46.58
111.00,37.26,18-23-54-844,47.59,-42.88
113.80,39.65,18-23-54-945,52.00,-38.79
116.68,46.51,18-23-55-044,62.11,-27.43
117.55,49.42,18-23-55-150,66.73,-22.57
118.82,55.91,18-23-55-260,75.27,-13.79
119.05,60.48,18-23-55-360,80.24,-8.63
119.58,64.03,18-23-55-462,85.14,-2.98
120.88,65.89,18-23-55-561,87.33,-0.54
120.78,67.50,18-23-55-662,90.11,-3.75
120.87,67.82,18-23-55-765,90.50,-4.45
120.92,67.27,18-23-55-861,89.17,-3.22
120.11,65.86,18-23-55-958,87.21,-0.17
119.71,59.47,18-23-56-043,75.84,-11.50
119.33,52.14,18-23-56-150,65.86,-22.88
116.22,44.17,18-23-56-244,54.89,-34.77
114.04,38.61,18-23-56-340,48.59,-41.38
110.25,34.20,18-23-56-441,40.18,-48.67
103.14,29.97,18-23-56-544,27.90,-56.21
97.86,29.34,18-23-56-648,20.45,-57.91
94.06,29.89,18-23-56-744,15.91,-59.21
92.30,26.31,18-23-56-841,15.29,-67.58
92.11,25.67,18-23-56-939,16.21,-69.54
92.10,25.85,18-23-57-026,16.81,-69.36
86.61,27.77,18-23-57-129,7.37,-68.78
83.88,29.37,18-23-57-233,5.76,-69.45
82.62,30.19,18-23-57-328,4.73,-68.75
82.25,30.75,18-23-57-425,5.02,-68.21
82.24,31.08,18-23-57-530,5.08,-67.88
82.27,31.27,18-23-57-627,5.08,-67.91
82.32,31.43,18-23-57-729,5.29,-67.85
82.48,30.99,18-23-57-828,5.89,-69.09
82.98,31.02,18-23-57-926,7.44,-69.16
83.76,30.74,18-23-58-030,9.31,-69.97
86.62,30.24,18-23-58-120,14.76,-71.51
90.87,26.35,18-23-58-242,20.71,-82.00
93.43,27.86,18-23-58-342,23.69,-75.25
97.58,28.42,18-23-58-447,29.70,-70.83
104.86,29.12,18-23-58-545,37.79,-62.86
107.54,34.60,18-23-58-648,42.34,-50.73
111.34,37.84,18-23-58-742,48.41,-42.14
114.22,42.74,18-23-58-843,56.02,-34.22
116.25,45.76,18-23-58-946,61.07,-29.29
118.46,51.48,18-23-59-045,70.49,-19.50
119.29,55.70,18-23-59-148,76.36,-12.52
119.50,60.48,18-23-59-243,82.06,-6.53
120.37,63.55,18-23-59-341,84.56,-1.73
120.05,64.66,18-23-59-435,84.98,-0.32
121.83,67.15,18-23-59-526,87.07,-4.40
120.80,68.96,18-23-59-625,91.41,-7.79
120.10,69.40,18-23-59-736,92.78,-8.48
119.76,69.38,18-23-59-850,92.96,-8.23
120.05,69.28,18-23-59-955,92.77,-7.96
