81.89,31.15,17-19-54-511,6.80,-72.55
81.86,31.15,17-19-54-595,6.69,-72.57
81.84,31.23,17-19-54-688,6.60,-72.35
81.80,31.27,17-19-54-786,6.59,-72.23
81.77,31.26,17-19-54-900,6.60,-72.20
81.75,31.26,17-19-55-001,6.59,-72.19
81.76,31.02,17-19-55-096,6.62,-72.26
81.77,30.88,17-19-55-194,6.61,-72.29
81.80,30.88,17-19-55-299,6.60,-72.18
81.82,30.87,17-19-55-400,6.59,-72.16
81.80,30.88,17-19-55-520,6.50,-72.24
81.78,30.88,17-19-55-617,6.45,-72.29
81.75,30.88,17-19-55-737,6.44,-72.28
81.74,30.97,17-19-55-840,6.45,-71.95
82.17,31.00,17-19-55-966,7.41,-71.85
83.55,30.91,17-19-56-064,10.38,-72.05
85.73,30.98,17-19-56-165,14.93,-70.85
88.89,30.28,17-19-56-271,21.51,-66.72
95.45,30.34,17-19-56-366,35.32,-61.77
100.80,33.69,17-19-56-470,46.43,-53.50
105.43,38.39,17-19-56-564,56.04,-44.82
111.91,45.27,17-19-56-677,69.62,-31.62
115.95,54.25,17-19-56-784,82.71,-15.94
117.47,60.50,17-19-56-877,91.76,-4.91
117.21,66.17,17-19-56-986,101.07,-5.98
114.35,75.15,17-19-57-088,117.98,-24.34
112.81,78.97,17-19-57-202,125.34,-33.06
111.69,80.89,17-19-57-318,129.15,-37.62
111.71,82.74,17-19-57-424,131.62,-42.33
111.34,82.31,17-19-57-536,131.21,-40.96
110.99,82.20,17-19-57-637,131.36,-40.53
110.50,81.19,17-19-57-728,130.43,-37.83
111.46,79.54,17-19-57-828,126.47,-33.54
113.68,78.67,17-19-57-935,122.73,-31.40
117.03,67.36,17-19-58-038,99.56,-7.31
117.61,55.51,17-19-58-151,78.39,-14.52
116.39,46.58,17-19-58-249,64.87,-30.00
111.85,34.54,17-19-58-345,47.49,-50.88
110.21,33.44,17-19-58-446,44.09,-52.42
100.57,29.03,17-19-58-545,25.91,-62.38
94.05,28.08,17-19-58-631,12.95,-64.82
86.06,29.01,17-19-58-732,3.06,-67.41
84.26,26.72,17-19-58-843,4.40,-74.46
84.00,26.95,17-19-58-954,3.65,-74.71
84.57,26.46,17-19-59-044,1.81,-76.86
85.12,25.51,17-19-59-142,0.42,-81.36
86.53,26.11,17-19-59-246,2.47,-77.20
86.96,26.24,17-19-59-349,3.32,-75.67
87.17,23.69,17-19-59-446,3.29,-76.59
90.70,25.96,17-19-59-550,10.84,-70.09
98.43,26.70,17-19-59-649,27.10,-66.06
111.33,35.83,17-19-59-745,51.87,-47.46
116.29,45.44,17-19-59-835,65.57,-30.47
118.32,52.14,17-19-59-935,75.13,-18.96
118.99,57.73,17-20-00-030,83.44,-9.25
119.21,63.68,17-20-00-130,93.20,-1.48
118.88,67.35,17-20-00-232,99.76,-8.47
118.56,70.62,17-20-00-334,105.62,-14.86
117.38,74.90,17-20-00-455,113.64,-23.61
116.19,76.98,17-20-00-567,118.12,-28.21
115.74,79.87,17-20-00-668,123.00,-35.19
114.14,81.27,17-20-00-761,126.68,-38.91
112.82,81.95,17-20-00-861,128.94,-40.54
111.98,81.91,17-20-00-963,129.71,-40.31
111.79,81.75,17-20-01-063,129.67,-39.90
111.73,80.70,17-20-01-175,128.15,-37.31
112.16,79.63,17-20-01-266,125.99,-34.75
116.78,64.37,17-20-01-362,93.91,-2.19
118.06,55.71,17-20-01-466,78.92,-13.62
116.93,47.47,17-20-01-570,66.81,-27.91
115.84,39.67,17-20-01-666,57.67,-41.34
106.39,31.42,17-20-01-764,40.32,-55.90
100.31,26.86,17-20-01-872,28.11,-65.32
93.37,21.26,17-20-01-991,13.93,-80.97
88.60,24.60,17-20-02-100,4.80,-72.58
84.17,26.26,17-20-02-206,3.02,-72.17
82.26,28.19,17-20-02-321,4.22,-71.18
81.91,28.56,17-20-02-419,3.25,-72.27
82.36,28.00,17-20-02-535,1.52,-74.92
82.74,26.84,17-20-02-633,0.05,-75.61
83.67,27.23,17-20-02-747,2.14,-74.53
84.36,26.20,17-20-02-847,4.00,-78.43
85.22,26.87,17-20-02-943,5.76,-75.75
85.72,23.09,17-20-03-031,6.08,-81.35
88.80,21.67,17-20-03-144,11.72,-78.30
94.28,23.86,17-20-03-251,22.99,-72.06
99.03,24.37,17-20-03-346,31.83,-70.62
105.05,29.99,17-20-03-446,43.03,-57.53
110.41,35.49,17-20-03-540,52.80,-47.57
115.48,44.66,17-20-03-654,65.47,-31.52
118.45,52.35,17-20-03-750,76.08,-18.48
119.32,62.90,17-20-03-847,92.13,-0.06
118.69,67.80,17-20-03-952,100.19,-9.21
118.11,71.81,17-20-04-054,107.40,-17.14
116.95,74.13,17-20-04-168,112.09,-21.83
115.55,77.77,17-20-04-269,119.33,-29.77
115.43,80.90,17-20-04-377,124.18,-37.08
112.97,83.32,17-20-04-483,130.04,-43.41
110.53,84.43,17-20-04-588,134.56,-46.62
109.56,85.50,17-20-04-682,137.32,-49.95
109.52,84.10,17-20-04-787,135.37,-45.54
109.49,83.82,17-20-04-887,135.03,-44.70
113.57,81.85,17-20-05-004,127.38,-39.22
115.36,73.47,17-20-05-124,111.77,-19.65
117.90,64.43,17-20-05-219,93.77,-1.77
117.71,51.98,17-20-05-323,73.58,-20.21
116.91,46.88,17-20-05-415,66.41,-28.51
114.21,37.73,17-20-05-520,54.56,-44.06
107.25,32.23,17-20-05-638,42.40,-53.40
101.85,29.11,17-20-05-736,32.77,-59.53
96.88,27.79,17-20-05-849,22.86,-62.96
91.29,22.56,17-20-05-955,10.80,-76.00
86.62,25.11,17-20-06-065,1.57,-71.42
83.48,24.86,17-20-06-164,3.49,-74.97
82.63,25.00,17-20-06-265,3.78,-75.46
82.87,23.58,17-20-06-400,2.59,-82.88
83.61,24.25,17-20-06-503,1.12,-79.81
84.28,25.45,17-20-06-621,0.45,-80.43
84.41,25.67,17-20-06-712,0.81,-81.96
84.46,25.77,17-20-06-815,0.99,-82.90
85.08,24.75,17-20-06-914,2.08,-81.36
88.55,21.64,17-20-07-016,9.05,-81.36
92.98,22.05,17-20-07-113,17.96,-85.99
99.73,23.19,17-20-07-213,30.01,-74.26
105.26,26.66,17-20-07-318,39.56,-62.76
112.54,37.01,17-20-07-445,54.86,-43.71
116.15,45.64,17-20-07-552,66.73,-28.99
118.46,53.81,17-20-07-652,78.61,-15.22
119.25,61.99,17-20-07-749,91.39,-0.98
118.99,66.94,17-20-07-844,99.69,-7.91
118.19,71.72,17-20-07-950,108.33,-17.35
116.19,75.62,17-20-08-053,116.58,-25.71
115.03,80.21,17-20-08-149,124.47,-36.08
114.00,81.96,17-20-08-250,127.72,-40.27
112.32,82.96,17-20-08-353,130.68,-42.66
110.78,84.04,17-20-08-464,133.97,-45.59
110.11,83.73,17-20-08-562,134.32,-44.55
109.75,83.66,17-20-08-652,134.65,-44.27
109.61,83.17,17-20-08-753,134.02,-42.71
109.61,82.37,17-20-08-861,132.74,-40.41
113.14,79.45,17-20-08-962,124.13,-33.24
115.57,73.84,17-20-09-047,112.22,-20.56
117.15,68.22,17-20-09-148,101.54,-9.29
117.57,60.15,17-20-09-248,86.67,-6.07
118.10,53.81,17-20-09-346,76.65,-17.30
116.85,46.62,17-20-09-440,66.46,-29.50
114.22,40.00,17-20-09-532,57.39,-40.74
104.01,32.43,17-20-09-631,38.74,-54.48
98.29,30.27,17-20-09-731,28.23,-58.79
94.03,27.61,17-20-09-835,19.57,-64.53
88.24,27.35,17-20-09-955,7.07,-67.28
82.99,29.43,17-20-10-067,3.07,-66.07
81.87,28.00,17-20-10-165,3.42,-71.61
82.12,26.79,17-20-10-261,1.38,-75.71
82.81,26.27,17-20-10-346,0.17,-79.59
82.97,26.33,17-20-10-448,0.52,-80.58
83.53,24.50,17-20-10-546,1.80,-80.58
84.48,25.05,17-20-10-644,3.79,-80.58
86.07,25.64,17-20-10-733,7.01,-80.89
90.00,25.74,17-20-10-840,15.25,-76.97
97.54,27.28,17-20-10-950,30.84,-70.58
103.23,30.72,17-20-11-048,41.96,-60.34
108.92,36.31,17-20-11-147,53.33,-49.04
112.75,41.57,17-20-11-243,61.31,-38.71
116.61,49.25,17-20-11-342,72.85,-24.37
118.45,56.37,17-20-11-447,83.24,-11.67
118.54,61.92,17-20-11-554,91.97,-1.75
117.57,69.01,17-20-11-650,104.34,-11.49
117.13,72.88,17-20-11-748,111.43,-19.39
115.81,75.90,17-20-11-849,117.29,-25.71
114.79,78.44,17-20-11-946,122.28,-31.57
114.18,79.55,17-20-12-053,124.43,-34.21
111.27,82.67,17-20-12-165,132.32,-42.42
110.01,83.84,17-20-12-275,135.46,-45.73
109.45,84.02,17-20-12-386,136.34,-46.16
