x,y
55065.675,9.18
55065.709,9.23
55065.745,9.31
55065.781,9.69
55065.809,10.8
55065.843,12.61
55065.876,15.21
55065.91,18.19
55065.944,22.82
55065.978,26.93
55066.01,30.51
55066.044,34.09
55066.076,38.03
55066.109,42.77
55066.144,48.63
55066.178,53.96
55066.209,60.09
55066.246,65.42
55066.277,73.0
55066.308,76.55
55066.344,84.54
55066.38,87.75
55066.409,93.13
55066.446,96.61
55066.477,99.57
55066.508,102.0
55066.548,104.11
55066.582,106.43
55066.61,113.34
55066.642,116.24
55066.677,118.79
55066.708,121.14
55066.742,122.98
55066.774,124.96
55066.808,126.78
55066.843,128.44
55066.877,132.07
55066.909,134.51
55066.943,136.82
55066.975,138.53
55067.007,140.71
55067.045,144.12
55067.076,145.62
55067.109,146.58
55067.143,147.5
55067.175,148.41
55067.209,149.24
55067.244,150.07
55067.274,150.99
55067.309,151.81
55067.342,152.64
55067.375,153.33
55067.41,153.9
55067.443,154.34
55067.476,154.68
55067.51,154.92
55067.546,155.1
55067.575,155.22
55067.611,155.3
55067.646,155.36
55067.675,155.37
55067.709,155.3
55067.741,154.92
55067.779,154.06
55067.809,152.54
55067.842,150.31
55067.876,148.01
55067.907,145.59
55067.941,143.31
55067.976,141.14
55068.01,138.67
55068.042,135.77
55068.074,131.82
55068.112,128.13
55068.142,125.51
55068.175,122.82
55068.211,118.8
55068.242,114.49
55068.274,111.14
55068.309,107.62
55068.342,103.18
55068.376,99.49
55068.412,93.56
55068.443,90.07
55068.475,86.56
55068.512,82.37
55068.543,78.86
55068.574,75.39
55068.612,71.58
55068.642,66.69
55068.676,61.74
55068.709,56.31
55068.745,52.35
55068.775,49.09
55068.813,45.94
55068.844,41.88
55068.876,37.77
55068.908,34.37
55068.941,31.7
55068.976,29.34
55069.01,26.86
55069.042,24.4
55069.075,22.0
55069.111,19.74
55069.143,18.07
55069.177,16.74
55069.21,15.87
55069.25,15.19
55069.276,14.58
55069.309,14.13
55069.344,13.78
55069.376,13.51
55069.409,13.28
55069.444,13.08
55069.474,12.93
55069.51,12.76
55069.544,12.57
55069.576,12.41
55069.609,12.26
55069.643,12.14
55069.677,12.04
55069.71,11.97
55069.744,11.95
55069.776,12.0
55069.809,12.68
55069.842,14.39
55069.877,17.42
55069.911,21.7
55069.942,25.82
55069.975,29.67
55070.009,34.98
55070.043,39.54
55070.075,46.47
55070.11,51.51
55070.143,58.71
55070.175,63.86
55070.21,71.31
55070.242,76.16
55070.279,80.5
55070.315,84.3
55070.342,87.67
55070.375,92.01
55070.408,95.67
55070.442,99.26
55070.476,103.18
55070.509,106.48
55070.545,109.01
55070.575,111.24
55070.609,114.74
55070.644,117.91
55070.677,122.11
55070.71,124.31
55070.743,126.92
55070.775,132.14
55070.808,134.43
55070.844,135.86
55070.877,137.11
55070.909,138.84
55070.944,140.49
55070.977,142.54
55071.007,144.53
55071.043,146.83
55071.08,148.82
55071.108,150.65
55071.144,151.72
55071.179,152.77
55071.21,153.64
55071.244,154.26
55071.276,154.9
55071.309,155.44
55071.342,155.87
55071.377,156.22
55071.41,156.52
55071.446,156.47
55071.476,156.46
55071.51,156.49
55071.543,156.53
55071.577,156.57
55071.609,156.59
55071.642,156.58
55071.676,156.42
55071.709,155.78
55071.743,154.5
55071.778,152.15
55071.809,149.49
55071.842,145.58
55071.875,142.59
55071.909,140.02
55071.942,137.77
55071.975,132.16
55072.009,129.12
55072.043,127.78
55072.074,126.28
55072.108,123.99
55072.141,121.57
55072.175,118.95
55072.212,115.04
55072.242,105.93
55072.275,101.62
55072.31,96.38
55072.344,93.8
55072.374,89.02
55072.415,83.77
55072.443,80.25
55072.475,76.83
55072.511,72.91
55072.543,68.07
55072.575,61.57
55072.609,57.18
55072.646,53.01
55072.674,49.51
55072.709,46.48
55072.742,43.23
55072.776,39.87
55072.808,35.98
55072.846,31.92
55072.874,28.81
55072.911,26.89
55072.942,25.35
55072.975,23.58
55073.008,21.95
55073.046,18.35
55073.076,16.02
55073.109,14.28
55073.142,13.18
55073.176,12.34
55073.209,11.65
55073.246,11.08
55073.275,10.57
55073.308,10.16
55073.342,9.82
55073.374,9.55
55073.408,9.34
55073.448,9.18
55073.474,9.06
55073.511,8.97
55073.541,8.92
55073.576,8.89
55073.612,8.87
55073.643,8.89
55073.678,8.96
55073.71,9.23
55073.742,10.49
55073.778,12.48
55073.809,15.92
55073.843,18.74
55073.878,21.14
55073.908,23.07
55073.942,25.32
55073.976,27.6
55074.007,31.07
55074.044,34.33
55074.078,38.38
55074.114,42.29
55074.142,46.76
55074.175,51.58
55074.209,56.07
55074.245,63.06
55074.275,68.51
55074.309,73.15
55074.343,78.01
55074.374,83.19
55074.411,87.32
55074.443,91.88
55074.474,99.71
55074.509,102.58
55074.546,105.5
55074.578,107.52
55074.607,109.59
55074.642,116.59
55074.678,120.63
55074.708,124.48
55074.741,126.74
55074.774,128.58
55074.808,130.55
55074.843,136.42
55074.875,138.5
55074.91,139.75
55074.944,140.85
55074.975,141.83
55075.01,143.19
55075.043,144.42
55075.076,145.69
55075.111,147.0
55075.146,148.22
55075.177,149.16
55075.211,149.96
55075.244,150.96
55075.277,151.85
55075.313,152.61
55075.343,152.99
55075.377,153.25
55075.413,153.47
55075.441,153.53
55075.477,153.61
55075.508,153.7
55075.544,153.66
55075.578,153.65
55075.609,153.62
55075.646,153.58
55075.678,153.49
55075.707,153.19
55075.743,152.19
55075.778,150.65
55075.808,148.46
55075.843,145.63
55075.877,142.42
55075.91,138.58
55075.944,135.42
55075.977,133.23
55076.01,127.95
55076.042,125.03
55076.079,121.11
55076.109,117.74
55076.142,114.57
55076.177,108.5
55076.209,101.28
55076.244,95.05
55076.278,93.04
55076.31,92.29
55076.343,87.34
55076.374,84.42
55076.409,80.06
55076.443,75.65
55076.478,72.18
55076.514,66.01
55076.543,59.67
55076.576,55.09
55076.61,50.42
55076.642,46.97
55076.681,42.67
55076.708,38.0
55076.742,34.91
